name	epoch	version	release	arch	vendor	build_time
aaa_base	0	84.87+git20180409.04c9dae	150300.10.28.2	x86_64	SUSE LLC <https://www.suse.com/>	1743160873
apparmor-parser	0	3.1.7	150600.5.15.1	x86_64	SUSE LLC <https://www.suse.com/>	1779280345
bash	0	4.4	150400.27.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1760366854
bash-sh	0	4.4	150400.27.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1760366854
binutils	0	2.45	150100.7.57.1	x86_64	SUSE LLC <https://www.suse.com/>	1762188641
boost-license1_66_0	0	1.66.0	150200.12.7.1	noarch	SUSE LLC <https://www.suse.com/>	1753185590
branding-SLE	0	15	150700.48.2	noarch	SUSE LLC <https://www.suse.com/>	1740518939
ca-certificates	0	2+git20240416.98ae794	150300.4.3.3	noarch	SUSE LLC <https://www.suse.com/>	1713366010
ca-certificates-mozilla	0	2.84	150200.44.1	noarch	SUSE LLC <https://www.suse.com/>	1771326358
catatonit	0	0.2.0	150500.3.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1712833135
containerd	0	1.7.29	150000.146.1	x86_64	SUSE LLC <https://www.suse.com/>	1787326974
coreutils	0	8.32	150400.9.12.1	x86_64	SUSE LLC <https://www.suse.com/>	1779869430
cpio	0	2.13	150400.3.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1706542012
cpp	0	7	3.9.1	x86_64	SUSE LLC <https://www.suse.com/>	1629704708
cpp7	0	7.5.0+r278197	150000.4.44.1	x86_64	SUSE LLC <https://www.suse.com/>	1737800896
cracklib	0	2.9.11	150600.1.90	x86_64	SUSE LLC <https://www.suse.com/>	1715243463
cracklib-dict-small	0	2.9.11	150600.1.90	x86_64	SUSE LLC <https://www.suse.com/>	1715243463
crypto-policies	0	20230920.570ea89	150600.3.16.1	noarch	SUSE LLC <https://www.suse.com/>	1774366285
curl	0	8.14.1	150700.7.23.1	x86_64	SUSE LLC <https://www.suse.com/>	1787161002
dbus-1	0	1.12.2	150400.18.8.1	x86_64	SUSE LLC <https://www.suse.com/>	1687256818
device-mapper	0	2.03.24_1.02.198	150700.7.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1770716470
diffutils	0	3.6	4.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1594201579
docker	0	29.4.0_ce	150000.259.1	x86_64	SUSE LLC <https://www.suse.com/>	1787328989
docker-buildx	0	0.33.0	150000.259.1	x86_64	SUSE LLC <https://www.suse.com/>	1787328989
dosfstools	0	4.1	3.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1640321519
file	0	5.32	7.14.1	x86_64	SUSE LLC <https://www.suse.com/>	1631196222
file-magic	0	5.32	7.14.1	noarch	SUSE LLC <https://www.suse.com/>	1631196222
filesystem	0	15.0	11.8.1	x86_64	SUSE LLC <https://www.suse.com/>	1647344147
fillup	0	1.42	2.18	x86_64	SUSE LLC <https://www.suse.com/>	1527272182
findutils	0	4.10.0	150700.2.6	x86_64	SUSE LLC <https://www.suse.com/>	1746193000
gawk	0	4.2.1	150000.3.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1784646682
gcc	0	7	3.9.1	x86_64	SUSE LLC <https://www.suse.com/>	1629704708
gcc7	0	7.5.0+r278197	150000.4.44.1	x86_64	SUSE LLC <https://www.suse.com/>	1737800896
gio-branding-SLE	0	15	150600.35.2.1	noarch	SUSE LLC <https://www.suse.com/>	1717510693
git	0	2.51.0	150600.3.15.1	x86_64	SUSE LLC <https://www.suse.com/>	1768219153
git-core	0	2.51.0	150600.3.15.1	x86_64	SUSE LLC <https://www.suse.com/>	1768219153
glib2-tools	0	2.78.6	150600.4.38.1	x86_64	SUSE LLC <https://www.suse.com/>	1784633992
glibc	0	2.38	150600.14.52.1	x86_64	SUSE LLC <https://www.suse.com/>	1782464143
glibc-devel	0	2.38	150600.14.52.1	x86_64	SUSE LLC <https://www.suse.com/>	1782464143
glibc-locale-base	0	2.38	150600.14.52.1	x86_64	SUSE LLC <https://www.suse.com/>	1782464143
go1.26	0	1.26.7	150000.1.27.1	x86_64	SUSE LLC <https://www.suse.com/>	1787238223
go1.26-doc	0	1.26.7	150000.1.27.1	x86_64	SUSE LLC <https://www.suse.com/>	1787238223
go1.26-race	0	1.26.7	150000.1.27.1	x86_64	SUSE LLC <https://www.suse.com/>	1787238223
gpg-pubkey	0	09d9ea69	68595a8c	(none)	(none)	1750686348
gpg-pubkey	0	39db7c82	66c5d91a	(none)	(none)	1724242202
gpg-pubkey	0	3fa1d6ce	67c856ee	(none)	(none)	1741182702
gpg-pubkey	0	50a3dd1c	50f35137	(none)	(none)	1358123319
gpg-pubkey	0	73f03759	626bd414	(none)	(none)	1651233812
gpg-pubkey	0	d588dc46	63c939db	(none)	(none)	1674131931
gpg2	0	2.4.4	150600.3.18.1	x86_64	SUSE LLC <https://www.suse.com/>	1784204673
grep	0	3.11	150700.1.8	x86_64	SUSE LLC <https://www.suse.com/>	1746195152
gzip	0	1.10	150200.16.1	x86_64	SUSE LLC <https://www.suse.com/>	1785243178
info	0	6.5	4.17	x86_64	SUSE LLC <https://www.suse.com/>	1527268091
iproute2	0	6.4	150600.7.15.1	x86_64	SUSE LLC <https://www.suse.com/>	1780558925
iptables	0	1.8.7	1.1	x86_64	SUSE LLC <https://www.suse.com/>	1617957150
jq	0	1.6	150000.3.20.1	x86_64	SUSE LLC <https://www.suse.com/>	1783012366
kbd	0	2.4.0	150700.15.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1756813969
kmod	0	29	150600.13.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1782316089
krb5	0	1.20.1	150600.11.19.1	x86_64	SUSE LLC <https://www.suse.com/>	1782742270
kubic-locale-archive	0	2.38	150600.18.3	noarch	SUSE LLC <https://www.suse.com/>	1709923174
less	0	643	150600.3.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1718185063
libacl1	0	2.2.52	4.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1540303077
libaio1	0	0.3.113	150600.15.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1757690640
libapparmor1	0	3.1.7	150600.5.15.1	x86_64	SUSE LLC <https://www.suse.com/>	1779279904
libasan4	0	7.5.0+r278197	150000.4.44.1	x86_64	SUSE LLC <https://www.suse.com/>	1737800896
libassuan0	0	2.5.5	150000.4.7.1	x86_64	SUSE LLC <https://www.suse.com/>	1722584808
libatomic1	0	15.3.0+git11272	150000.1.12.1	x86_64	SUSE LLC <https://www.suse.com/>	1781599475
libattr1	0	2.4.47	2.19	x86_64	SUSE LLC <https://www.suse.com/>	1527268006
libaudit1	0	3.0.6	150400.4.16.1	x86_64	SUSE LLC <https://www.suse.com/>	1707237471
libaugeas0	0	1.14.1	150600.3.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1745485086
libblkid1	0	2.40.4	150700.4.18.1	x86_64	SUSE LLC <https://www.suse.com/>	1787159150
libboost_system1_66_0	0	1.66.0	150200.12.7.1	x86_64	SUSE LLC <https://www.suse.com/>	1753185590
libboost_thread1_66_0	0	1.66.0	150200.12.7.1	x86_64	SUSE LLC <https://www.suse.com/>	1753185590
libbpf1	0	1.5.0	150700.1.3	x86_64	SUSE LLC <https://www.suse.com/>	1745850398
libbrotlicommon1	0	1.0.7	150200.3.5.1	x86_64	SUSE LLC <https://www.suse.com/>	1753344426
libbrotlidec1	0	1.0.7	150200.3.5.1	x86_64	SUSE LLC <https://www.suse.com/>	1753344426
libburn4	0	1.5.6	150600.1.6	x86_64	SUSE LLC <https://www.suse.com/>	1715244726
libbz2-1	0	1.0.8	150400.1.122	x86_64	SUSE LLC <https://www.suse.com/>	1651957955
libcap-ng0	0	0.7.9	4.37	x86_64	SUSE LLC <https://www.suse.com/>	1557021735
libcap2	0	2.63	150400.3.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1775836678
libcares2	0	1.19.1	150000.3.26.1	x86_64	SUSE LLC <https://www.suse.com/>	1708958784
libcilkrts5	0	7.5.0+r278197	150000.4.44.1	x86_64	SUSE LLC <https://www.suse.com/>	1737800896
libcom_err2	0	1.47.0	150600.4.6.2	x86_64	SUSE LLC <https://www.suse.com/>	1727360019
libcrack2	0	2.9.11	150600.1.90	x86_64	SUSE LLC <https://www.suse.com/>	1715243463
libcrypt1	0	4.4.15	150300.4.7.1	x86_64	SUSE LLC <https://www.suse.com/>	1702378672
libcryptsetup12	0	2.8.4	150700.6.4.4	x86_64	SUSE LLC <https://www.suse.com/>	1783074855
libctf-nobfd0	0	2.45	150100.7.57.1	x86_64	SUSE LLC <https://www.suse.com/>	1762188641
libctf0	0	2.45	150100.7.57.1	x86_64	SUSE LLC <https://www.suse.com/>	1762188641
libcurl4	0	8.14.1	150700.7.23.1	x86_64	SUSE LLC <https://www.suse.com/>	1787161002
libdbus-1-3	0	1.12.2	150400.18.8.1	x86_64	SUSE LLC <https://www.suse.com/>	1687256818
libdevmapper-event1_03	0	2.03.24_1.02.198	150700.7.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1770716470
libdevmapper1_03	0	2.03.24_1.02.198	150700.7.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1770716470
libduktape206	0	2.6.0	150500.4.5.1	x86_64	SUSE LLC <https://www.suse.com/>	1706955139
libdw1	0	0.185	150400.5.8.3	x86_64	SUSE LLC <https://www.suse.com/>	1761934788
libeconf0	0	0.5.2	150400.3.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1694100696
