id	url	archive	sha256	bytes
rancher-monitoring-crd	https://charts.rancher.io/assets/rancher-monitoring-crd/rancher-monitoring-crd-108.0.2+up77.9.1-rancher.11.tgz	rancher-monitoring-crd-108.0.2+up77.9.1-rancher.11.tgz	8af022dc9c86a4582d4fbe8a4aa36e8dd2844d05fb203eafdf6ea34d6459f5b7	186349
rancher-monitoring	https://charts.rancher.io/assets/rancher-monitoring/rancher-monitoring-108.0.2+up77.9.1-rancher.11.tgz	rancher-monitoring-108.0.2+up77.9.1-rancher.11.tgz	f8efb9e3ee01dee73c389c3893cf4dc4716065f6bb413e4fab7f7cfffd29bbe3	464293
rancher-logging-crd	https://charts.rancher.io/assets/rancher-logging-crd/rancher-logging-crd-108.0.2+up4.10.0-rancher.18.tgz	rancher-logging-crd-108.0.2+up4.10.0-rancher.18.tgz	df6be1b90c1ec4bf832d49bd4095819d5678a95411ddcf643004c714e6c8efae	175027
rancher-logging	https://charts.rancher.io/assets/rancher-logging/rancher-logging-108.0.2+up4.10.0-rancher.18.tgz	rancher-logging-108.0.2+up4.10.0-rancher.18.tgz	0321c132aadd1c2ef9b6e5b0fd0d0e92186d0d0b92ba5bbc7e24eb7b11ac41fb	19302
harvester-vm-import-controller	https://github.com/harvester/charts/releases/download/harvester-vm-import-controller-1.8.2/harvester-vm-import-controller-1.8.2.tgz	harvester-vm-import-controller-1.8.2.tgz	63e34f9d08e6994e43db3406091e37c89d089b3845839e23d8c99c2690fb8d7f	2722
harvester-pcidevices-controller	https://github.com/harvester/charts/releases/download/harvester-pcidevices-controller-1.8.2/harvester-pcidevices-controller-1.8.2.tgz	harvester-pcidevices-controller-1.8.2.tgz	ef3027f5529942bcc961539a77520e17266f2b7111cbd85d89c8fbd69453ef5f	2816
harvester-seeder	https://github.com/harvester/charts/releases/download/harvester-seeder-1.8.2/harvester-seeder-1.8.2.tgz	harvester-seeder-1.8.2.tgz	1e07b36d3ff1f8ee3a527150447773dd6c63abc406c9c35df28a32d506e099ed	2979
nvidia-driver-runtime	https://github.com/harvester/charts/releases/download/nvidia-driver-runtime-1.8.2/nvidia-driver-runtime-1.8.2.tgz	nvidia-driver-runtime-1.8.2.tgz	106a082f1571774e91b26a6ce75d2517e9890478d79ae957a00710d9d87abb01	2765
kubeovn-operator-crd	https://github.com/harvester/charts/releases/download/kubeovn-operator-crd-1.15.4-r2/kubeovn-operator-crd-1.15.4-r2.tgz	kubeovn-operator-crd-1.15.4-r2.tgz	8efcfdd3fde5fd17e6fc80e951f5e7b03243fcc517cdde52bbf0ef8f5b32475d	4327
kubeovn-operator	https://github.com/harvester/charts/releases/download/kubeovn-operator-1.15.4-r2/kubeovn-operator-1.15.4-r2.tgz	kubeovn-operator-1.15.4-r2.tgz	d8705f7168271662b623af4ca2d3c4f2f4b868410e09b39385b38658af394b1f	6233
descheduler	https://github.com/kubernetes-sigs/descheduler/releases/download/descheduler-helm-chart-0.33.0/descheduler-0.33.0.tgz	descheduler-0.33.0.tgz	1f32da32dedc6c066f197637e1fbd10546e9c6987322b88e71add1c9765c978f	8973
